dataset_id,disease,soma_joinid,citation,collection_id,collection_name,collection_doi,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
2ecc72f8-085f-4e86-8692-771f316c54f6,normal;dementia,72,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/deabf073-269a-4f0b-96e3-023e61c89335.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,deabf073-269a-4f0b-96e3-023e61c89335,Endothelial - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),2ecc72f8-085f-4e86-8692-771f316c54f6.h5ad,2496
81e91ff8-f619-4ad1-a0c3-b45e1dc63f68,normal;dementia,76,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/6a70e899-c205-4a73-8ab4-1dd5f8390c16.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,6a70e899-c205-4a73-8ab4-1dd5f8390c16,Sst Chodl - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),81e91ff8-f619-4ad1-a0c3-b45e1dc63f68.h5ad,1310
03d5794d-cde9-4769-a1a9-b3899d2b1d87,normal;Barrett esophagus;gastritis;gastric intestinal metaplasia,77,Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/8db806f1-a518-4a29-91f5-61206413d586.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,a18474f4-ff1e-4864-af69-270b956cee5b,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,8db806f1-a518-4a29-91f5-61206413d586,UMAP of Plasma and B-Cells cells,03d5794d-cde9-4769-a1a9-b3899d2b1d87.h5ad,9015
dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503,normal;multiple sclerosis,79,Publication: https://doi.org/10.1038/s41586-019-0903-2 Dataset Version: https://datasets.cellxgene.cziscience.com/d7fff9cc-570f-43c4-abdc-26d4fe19edfa.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/16c1e722-96ae-4bf6-b408-cd7f8918484f,16c1e722-96ae-4bf6-b408-cd7f8918484f,Single nuclei RNA- sequencing from the white matter of individuals with progressive MS and non-neurological controls,10.1038/s41586-019-0903-2,d7fff9cc-570f-43c4-abdc-26d4fe19edfa,Oligodendrocytes in MS,dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503.h5ad,17799
cd77258f-b08b-4c89-b93f-6e6f146b1a4d,normal;Alzheimer disease,81,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/ad4528aa-8e22-4c52-9fe8-a4c13c317381.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,ad4528aa-8e22-4c52-9fe8-a4c13c317381,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC excitatory neurons,cd77258f-b08b-4c89-b93f-6e6f146b1a4d.h5ad,8362
af8b241a-c72c-4470-b1a4-80e7336c6ab6,cataract;basal laminar drusen;age related macular degeneration 7,93,Publication: https://doi.org/10.1073/pnas.1914143116 Dataset Version: https://datasets.cellxgene.cziscience.com/5980dac1-6202-457c-ac4a-10f9d3d64ad0.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/f8057c47-fcd8-4fcf-88b0-e2f930080f6e,f8057c47-fcd8-4fcf-88b0-e2f930080f6e,Single-cell transcriptomics of the human retinal pigment epithelium and choroid in health and macular degeneration,10.1073/pnas.1914143116,5980dac1-6202-457c-ac4a-10f9d3d64ad0,Retina,af8b241a-c72c-4470-b1a4-80e7336c6ab6.h5ad,4335
fc0ceb80-d2d9-47c1-9d78-b0e45c64c500,dementia;normal,102,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/1792785e-d0c8-4576-aa46-eb823d141183.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,1792785e-d0c8-4576-aa46-eb823d141183,Sst Chodl - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),fc0ceb80-d2d9-47c1-9d78-b0e45c64c500.h5ad,1772
248cf7bf-508b-4c28-a2fd-cabe2ab956aa,neuroendocrine carcinoma;adenocarcinoma,118,Publication: https://doi.org/10.1084/jem.20191130 Dataset Version: https://datasets.cellxgene.cziscience.com/4fcc30bb-e8fa-42d5-90b4-bca954f66158.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,ff668d5d-5b3f-49ee-a007-ff0664bf35ec,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,10.1084/jem.20191130,4fcc30bb-e8fa-42d5-90b4-bca954f66158,Ileum,248cf7bf-508b-4c28-a2fd-cabe2ab956aa.h5ad,5980
236baeda-5fdd-41bf-8e32-bae21ac7d435,dementia;normal,119,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/33201c99-5790-4684-a60b-f5773b1408f6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,33201c99-5790-4684-a60b-f5773b1408f6,VLMC - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),236baeda-5fdd-41bf-8e32-bae21ac7d435.h5ad,3937
63bb6359-3945-4658-92eb-3072419953e4,gastric intestinal metaplasia;normal;gastritis;Barrett esophagus,121,Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/a5df7f5b-34d8-421a-bf2a-1317f04b0f9a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,a18474f4-ff1e-4864-af69-270b956cee5b,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,a5df7f5b-34d8-421a-bf2a-1317f04b0f9a,UMAP of T-Cells cells,63bb6359-3945-4658-92eb-3072419953e4.h5ad,14970
214bf9eb-93db-48c8-8e3c-9bb22fa3bc63,normal;pulmonary emphysema,130,Publication: https://doi.org/10.1016/j.immuni.2023.01.032 Dataset Version: https://datasets.cellxgene.cziscience.com/e40d0424-dd21-40f2-8af7-b42aeaf27c6e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,03cdc7f4-bd08-49d0-a395-4487c0e5a168,Emphysema Cell Atlas,10.1016/j.immuni.2023.01.032,e40d0424-dd21-40f2-8af7-b42aeaf27c6e,AT2 cells,214bf9eb-93db-48c8-8e3c-9bb22fa3bc63.h5ad,3662
2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb,dementia;normal,133,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/a48dec45-8754-4c9a-868f-e96dc96f98da.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,a48dec45-8754-4c9a-868f-e96dc96f98da,VLMC - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb.h5ad,4619
0fdb6122-4600-40f0-a703-2da47cc7080d,dilated cardiomyopathy;normal;arrhythmogenic right ventricular cardiomyopathy;non-compaction cardiomyopathy,134,Publication: https://doi.org/10.1126/science.abo1984 Dataset Version: https://datasets.cellxgene.cziscience.com/1bfa633b-c35a-4b35-9ba3-103c638bfe2d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,1bfa633b-c35a-4b35-9ba3-103c638bfe2d,DCM/ACM heart cell atlas: Lymphoids,0fdb6122-4600-40f0-a703-2da47cc7080d.h5ad,16878
14363b6e-3428-45b0-8704-10fd5d6316df,normal;basal cell carcinoma,160,Publication: https://doi.org/10.1101/2023.08.08.551504 Dataset Version: https://datasets.cellxgene.cziscience.com/49fec199-80d2-4f10-ae46-5d307db16ab9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,34f12de7-c5e5-4813-a136-832677f98ac8,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,10.1101/2023.08.08.551504,49fec199-80d2-4f10-ae46-5d307db16ab9,Epithelial bcc and normal_scRNAseq,14363b6e-3428-45b0-8704-10fd5d6316df.h5ad,9841
a1b9c51e-a408-4f7f-bccb-abefe20ae2a5,Alzheimer disease;temporal lobe epilepsy,163,Publication: https://doi.org/10.1038/s41467-020-19737-2 Dataset Version: https://datasets.cellxgene.cziscience.com/9229854d-5f2b-4ee2-99c7-ea7825eaac43.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fcb3d1c1-03d2-41ac-8229-458e072b7a1c,fcb3d1c1-03d2-41ac-8229-458e072b7a1c,Live Human Microglia Single-cell RNA-seq,10.1038/s41467-020-19737-2,9229854d-5f2b-4ee2-99c7-ea7825eaac43,Olah et al (2020) Single-cell Human Microglia,a1b9c51e-a408-4f7f-bccb-abefe20ae2a5.h5ad,16245
f5be4b96-f5a3-4c3d-84ac-6f69daf744d5,normal;Lewy body dementia;Parkinson disease,164,Publication: https://doi.org/10.1038/s41593-022-01061-1 Dataset Version: https://datasets.cellxgene.cziscience.com/0566a345-7bde-4107-9976-3f7976c0c5ca.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b0f0b447-ac37-45b0-b1bf-5c0b7d871120,b0f0b447-ac37-45b0-b1bf-5c0b7d871120,Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease,10.1038/s41593-022-01061-1,0566a345-7bde-4107-9976-3f7976c0c5ca,Human Endothelial cells 10x scRNA-seq,f5be4b96-f5a3-4c3d-84ac-6f69daf744d5.h5ad,14903
4dd1cd23-fc4d-4fd1-9709-602540f3ca6f,normal;Lewy body dementia;Parkinson disease,170,Publication: https://doi.org/10.1038/s41593-022-01061-1 Dataset Version: https://datasets.cellxgene.cziscience.com/675b276f-6b88-4c65-aa37-7d1df922b705.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b0f0b447-ac37-45b0-b1bf-5c0b7d871120,b0f0b447-ac37-45b0-b1bf-5c0b7d871120,Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease,10.1038/s41593-022-01061-1,675b276f-6b88-4c65-aa37-7d1df922b705,Human OPC Cells 10x scRNA-seq,4dd1cd23-fc4d-4fd1-9709-602540f3ca6f.h5ad,13691
873ff933-4fda-4936-9a70-67df11af90ac,normal;Alzheimer disease,178,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/f8eb5d88-25f6-433a-a614-e7404292d92e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,f8eb5d88-25f6-433a-a614-e7404292d92e,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG excitatory neurons,873ff933-4fda-4936-9a70-67df11af90ac.h5ad,15833
1a7e99fe-d5b6-44d7-aa50-c6ef6ab29761,normal;COVID-19,183,Publication: https://doi.org/10.1016/j.isci.2023.108572 Dataset Version: https://datasets.cellxgene.cziscience.com/9a4dd5df-8757-4f70-b0a1-d8b021a653bc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,ecb739c5-fe0d-4b48-81c6-217c4d64eec4,COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,10.1016/j.isci.2023.108572,9a4dd5df-8757-4f70-b0a1-d8b021a653bc,"B cells -- CV19 infection, vaccination and HC",1a7e99fe-d5b6-44d7-aa50-c6ef6ab29761.h5ad,20727
07428d73-fdea-4bd4-a801-94b00c4d961c,normal;dementia,185,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/e3e7da60-7ff8-492b-8f73-86cbc28e4b52.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,e3e7da60-7ff8-492b-8f73-86cbc28e4b52,L5 ET - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),07428d73-fdea-4bd4-a801-94b00c4d961c.h5ad,2361
